Date,Stock,Open,High,Low,Close,Volume
2014-01-02,AAPL,17.14065933227539,17.261514700050217,17.106262569973854,17.219680531581286,234684800
2014-01-03,AAPL,16.76415252685547,17.158325179571857,16.74710805490898,17.132295909276262,392467600
2014-01-06,AAPL,16.85556983947754,16.944505948893685,16.53545843130437,16.65476478474991,412610800
2014-01-07,AAPL,16.735021591186523,16.91847264995258,16.66932615659733,16.86765202809232,317209200
2014-01-08,AAPL,16.84099769592285,16.90607250195786,16.693183007185972,16.696900054421665,258529600
2014-01-09,AAPL,16.625938415527344,16.946359170403543,16.58968147950154,16.94449899165181,279148800
2014-01-10,AAPL,16.515005111694336,16.758574416910726,16.458296120272255,16.728515308430037,304976000
2014-01-13,AAPL,16.60146141052246,16.81125287412468,16.420178350280885,16.421108439836715,378492800
2014-01-14,AAPL,16.931800842285156,16.942336341995592,16.661270525655244,16.678624476324995,332561600
2014-01-15,AAPL,17.271745681762695,17.359753358396894,17.095111371950964,17.152750458825533,391638800
2014-01-16,AAPL,17.175369262695312,17.255939517424654,17.095727442624238,17.195511826377647,229278000
2014-01-17,AAPL,16.754549026489258,17.107817669630506,16.730687753666196,17.08953528088891,426739600
2014-01-21,AAPL,17.014850616455078,17.04583815980695,16.746799429656505,16.764462858955508,328526800
2014-01-22,AAPL,17.09046173095703,17.269573495684313,16.97580418550099,17.071868212918915,379985200
2014-01-23,AAPL,17.23517608642578,17.245092629009992,16.882837621290005,17.041808470924796,403239200
2014-01-24,AAPL,16.9218807220459,17.217819635725725,16.880974989828267,17.167617973667642,429354800
2014-01-27,AAPL,17.059162139892578,17.19241320915802,16.911968000199376,17.04583802594434,554878800
2014-01-28,AAPL,15.695669174194336,15.959069887820366,15.558388279762433,15.765702273369447,1065523200
2014-01-29,AAPL,15.517486572265623,15.722630939857495,15.451481644648252,15.616650357785904,502810000
2014-01-30,AAPL,15.4874267578125,15.695670863434858,15.391983335613128,15.57295529137813,678501600
2014-01-31,AAPL,15.512842178344728,15.541661728918438,15.294373633947432,15.344884803297392,464797200
2014-02-03,AAPL,15.541650772094728,15.733780422147085,15.472547781062223,15.575119094155564,401464000
